"Subregion","Site","Land_Manager","Main_Restoration_Type","Restoration_Intensity","Area_ha","Lat","Lng","Proportion_of_native_species","Cultural_species_richness","Exotic_species","Trampling","Herbivory","Composite_Index","Year","Percentage_ns"
"Gulf Islands","Anniversary Island","GINPR","herbivore reduction","high",4.39,48.82291937,-123.1823297,0.94,2.71,0.17,5,1.14,1.8,2023,94
"Gulf Islands","AVNR","Saltspring conservancy","herbivore reduction","minimal",20.54,48.80351391,-123.4425083,0.55,1.3,57.19,4.7,36.5,0.6,2023,55
"Saanich Peninsula","Bear Hill Park","CRD","invasive removal","low",3.8,48.54638676,-123.4077754,0.62,1.86,24.46,7.57,9.5,1,2023,62
"Gulf Islands","Brackman Island","GINPR","invasive removal","high",4.41,48.71896669,-123.3863804,0.77,2.8,11.17,5.4,0,2,2023,77
"Saanich Peninsula","Camas Hill","HAT","invasive removal","high",10.1,48.40173201,-123.5974587,0.61,2.43,27.19,7.71,4.71,1.4,2023,61
"Gulf Islands","Crows Nest","Trinity Western University","herbivore reduction","high",15.34,48.78236526,-123.4612467,0.66,1.07,31.51,1.64,26.71,1,2023,66
"Gulf Islands","Dock Islet N ","GINPR","herbivore reduction","high",0.54,48.67172621,-123.3577287,0.75,3.6,8.8,12.2,0.1,1.6,2023,75
"Gulf Islands","Eagle Islet","GINPR","herbivore reduction","high",1.34,48.63573836,-123.32935,0.53,0.8,28.25,16.6,0,0.8,2023,53
"Saanich Peninsula","Gonzales Hill Park","CRD","invasive removal","low",1.16,48.41447664,-123.323699,0.32,1,83.16,10.4,1.2,0.4,2023,32
"Saanich Peninsula","Gore Park","Central Saanich","invasive removal","moderate",0.74,48.46093,-123.33328,0.64,4.4,7.35,6.2,1.6,1.6,2023,64
"Saanich Peninsula","Highrock Park","City of Esquimalt","invasive removal","low",2.88,48.43449,-123.4066,0.49,1.6,37.1,8.2,1.2,1,2023,49
"Saanich Peninsula","Mill Hill Park","CRD","invasive removal","high",16.66,48.457728,-123.479491,0.41,1.56,46.33,14.33,25.67,0.4,2023,41
"Gulf Islands","Mt Maxwell","BC Parks","herbivore reduction","moderate",35.84,48.80992011,-123.5227678,0.45,0.42,64.3,10,6,0.2,2023,45
"Saanich Peninsula","Oak Haven Park","CRD","invasive removal","high",3.16,48.56418627,-123.4470656,0.47,1.5,34.6,1.88,12.75,1,2023,47
"Gulf Islands","Owl Islet","GINPR","none known","minimal",1.49,48.82656136,-123.4005566,0.65,2,27.72,10.67,0.67,1.4,2023,65
"Gulf Islands","Reay Islet","GINPR","herbivore reduction","high",1.97,48.68334587,-123.3293175,0.62,3.6,11.51,11,8,1,2023,62
"Gulf Islands","Retreat Island","Galiano Conservancy","none known","minimal",1.11,48.9403368,-123.5041681,0.58,2.33,33,32.33,0,1,2023,58
"Gulf Islands","Rum Islet","GINPR","none known","minimal",1.44,48.66274423,-123.2781064,0.45,1,73.21,22.2,70.8,0,2023,45
"Saanich Peninsula","Scafe Hill","CRD","invasive removal","low",3.36,48.49351846,-123.486898,0.34,1.4,55.35,10.2,1.4,0.4,2023,34
"Saanich Peninsula","Seymour Hill","CRD","invasive removal","low",3.22,48.46762957,-123.4659684,0.34,2.2,65.99,9.2,0.2,0.8,2023,34
"Gulf Islands","SISCENEM","WSANEC","none known","minimal",3.83,48.62042965,-123.2731841,0.67,3.4,16.12,12.8,0.5,1.6,2023,67
"Saanich Peninsula","Stewart Hill","CRD","invasive removal","low",3.46,48.49664244,-123.4913375,0.44,1,79.56,4.8,0.8,0.6,2023,44
"Saanich Peninsula","Trial Island",NA,"invasive removal","high",11.58,48.39652597,-123.3058486,0.54,3.57,30.73,2,0.14,1.6,2023,54
"Saanich Peninsula","Uplands Park","District of Oak Bay","invasive removal","high",20.03,48.43912056,-123.2953267,0.37,1.45,49.38,2.36,5.82,1,2023,37
